GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2016-10-13,@,Columbus Blue Jackets,6,3,W,,1,0,0,W 1,18144,2:29,
2,2016-10-15,@,Toronto Maple Leafs,1,4,L,,1,1,0,L 1,19466,2:23,
3,2016-10-17,@,Winnipeg Jets,4,1,W,,2,1,0,W 1,15296,2:36,
4,2016-10-20,,New Jersey Devils,2,1,W,,3,1,0,W 2,17565,2:37,
5,2016-10-22,,Montreal Canadiens,2,4,L,,3,2,0,L 1,17565,2:36,
6,2016-10-25,,Minnesota Wild,0,5,L,,3,3,0,L 2,17565,2:32,
7,2016-10-26,@,New York Rangers,2,5,L,,3,4,0,L 3,18006,2:31,
8,2016-10-29,@,Detroit Red Wings,1,0,W,,4,4,0,W 1,20027,2:45,
9,2016-11-01,@,Florida Panthers,2,1,W,,5,4,0,W 2,13808,2:44,
10,2016-11-03,@,Tampa Bay Lightning,4,3,W,SO,6,4,0,W 3,19092,3:04,
11,2016-11-05,,New York Rangers,2,5,L,,6,5,0,L 1,17565,2:24,
12,2016-11-07,,Buffalo Sabres,4,0,W,,7,5,0,W 1,17565,2:34,
13,2016-11-08,@,Montreal Canadiens,2,3,L,,7,6,0,L 1,21288,2:33,
14,2016-11-10,,Columbus Blue Jackets,5,2,W,,8,6,0,W 1,17565,2:26,
15,2016-11-12,@,Arizona Coyotes,2,1,W,,9,6,0,W 2,16531,2:35,
16,2016-11-13,@,Colorado Avalanche,2,0,W,,10,6,0,W 3,15808,2:31,
17,2016-11-17,@,Minnesota Wild,0,1,L,,10,7,0,L 1,18774,2:33,
18,2016-11-19,,Winnipeg Jets,4,1,W,,11,7,0,W 1,17565,2:21,
19,2016-11-22,,St. Louis Blues,2,4,L,,11,8,0,L 1,17565,2:32,
20,2016-11-24,@,Ottawa Senators,1,3,L,,11,9,0,L 2,17191,2:29,
21,2016-11-25,,Calgary Flames,1,2,L,,11,10,0,L 3,17565,2:42,
22,2016-11-27,,Tampa Bay Lightning,4,1,W,,12,10,0,W 1,17565,2:29,
23,2016-11-29,@,Philadelphia Flyers,2,3,L,SO,12,10,1,L 1,19558,2:57,
24,2016-12-01,,Carolina Hurricanes,2,1,W,SO,13,10,1,W 1,17565,2:48,
25,2016-12-03,@,Buffalo Sabres,2,1,W,,14,10,1,W 2,19070,2:39,
26,2016-12-05,,Florida Panthers,4,3,W,OT,15,10,1,W 3,17565,2:29,
27,2016-12-07,@,Washington Capitals,3,4,L,OT,15,10,2,L 1,18506,2:39,
28,2016-12-08,,Colorado Avalanche,2,4,L,,15,11,2,L 2,17565,2:21,
29,2016-12-10,,Toronto Maple Leafs,1,4,L,,15,12,2,L 3,17565,2:25,
30,2016-12-12,@,Montreal Canadiens,2,1,W,OT,16,12,2,W 1,21288,2:43,
31,2016-12-14,@,Pittsburgh Penguins,3,4,L,OT,16,12,3,L 1,18415,2:38,
32,2016-12-15,,Anaheim Ducks,3,4,L,,16,13,3,L 2,17565,2:36,
33,2016-12-18,,Los Angeles Kings,1,0,W,,17,13,3,W 1,17565,2:32,
34,2016-12-20,,New York Islanders,2,4,L,,17,14,3,L 1,17565,2:27,
35,2016-12-22,@,Florida Panthers,3,1,W,,18,14,3,W 1,14462,2:37,
36,2016-12-23,@,Carolina Hurricanes,2,3,L,OT,18,14,4,L 1,12924,2:29,
37,2016-12-27,@,Columbus Blue Jackets,3,4,L,,18,15,4,L 2,19005,2:33,
38,2016-12-29,@,Buffalo Sabres,4,2,W,,19,15,4,W 1,19070,2:43,
39,2016-12-31,,Buffalo Sabres,3,1,W,,20,15,4,W 2,17565,2:28,
40,2017-01-02,@,New Jersey Devils,0,3,L,,20,16,4,L 1,15141,2:25,
41,2017-01-05,,Edmonton Oilers,3,4,L,,20,17,4,L 2,17565,2:40,
42,2017-01-07,@,Florida Panthers,4,0,W,,21,17,4,W 1,16630,2:29,
43,2017-01-08,@,Carolina Hurricanes,3,4,L,OT,21,17,5,L 1,11820,2:28,
44,2017-01-10,@,St. Louis Blues,5,3,W,,22,17,5,W 1,19342,2:32,
45,2017-01-12,@,Nashville Predators,1,2,L,,22,18,5,L 1,17113,2:32,
46,2017-01-14,,Philadelphia Flyers,6,3,W,,23,18,5,W 1,17565,2:33,
47,2017-01-16,,New York Islanders,0,4,L,,23,19,5,L 1,17565,2:18,
48,2017-01-18,@,Detroit Red Wings,5,6,L,SO,23,19,6,L 2,20027,2:49,
49,2017-01-20,,Chicago Blackhawks,0,1,L,,23,20,6,L 3,17565,2:20,
50,2017-01-22,@,Pittsburgh Penguins,1,5,L,,23,21,6,L 4,18506,2:42,
51,2017-01-24,,Detroit Red Wings,4,3,W,OT,24,21,6,W 1,17565,2:45,
52,2017-01-26,,Pittsburgh Penguins,4,3,W,,25,21,6,W 2,17565,2:44,
53,2017-01-31,@,Tampa Bay Lightning,4,3,W,,26,21,6,W 3,19092,2:41,
54,2017-02-01,@,Washington Capitals,3,5,L,,26,22,6,L 1,18506,2:32,
55,2017-02-04,,Toronto Maple Leafs,5,6,L,,26,23,6,L 2,17565,2:53,
56,2017-02-09,,San Jose Sharks,6,3,W,,27,23,6,W 1,17565,2:31,
57,2017-02-11,,Vancouver Canucks,4,3,W,,28,23,6,W 2,17565,2:29,
58,2017-02-12,,Montreal Canadiens,4,0,W,,29,23,6,W 3,17565,2:36,
59,2017-02-19,@,San Jose Sharks,2,1,W,OT,30,23,6,W 4,17562,2:36,
60,2017-02-22,@,Anaheim Ducks,3,5,L,,30,24,6,L 1,15135,2:41,
61,2017-02-23,@,Los Angeles Kings,4,1,W,,31,24,6,W 1,18230,2:36,
62,2017-02-26,@,Dallas Stars,6,3,W,,32,24,6,W 2,18006,2:35,
63,2017-02-28,,Arizona Coyotes,4,1,W,,33,24,6,W 3,17565,2:25,
64,2017-03-02,,New York Rangers,1,2,L,,33,25,6,L 1,17565,2:30,
65,2017-03-04,,New Jersey Devils,3,2,W,,34,25,6,W 1,17565,2:41,
66,2017-03-06,@,Ottawa Senators,2,4,L,,34,26,6,L 1,17046,2:28,
67,2017-03-08,,Detroit Red Wings,6,1,W,,35,26,6,W 1,17565,2:29,
68,2017-03-11,,Philadelphia Flyers,2,1,W,,36,26,6,W 2,17565,2:39,
69,2017-03-13,@,Vancouver Canucks,6,3,W,,37,26,6,W 3,18865,2:34,
70,2017-03-15,@,Calgary Flames,5,2,W,,38,26,6,W 4,18892,2:27,
71,2017-03-16,@,Edmonton Oilers,4,7,L,,38,27,6,L 1,18347,2:39,
72,2017-03-20,@,Toronto Maple Leafs,2,4,L,,38,28,6,L 2,19347,2:38,
73,2017-03-21,,Ottawa Senators,2,3,L,,38,29,6,L 3,17565,2:37,
74,2017-03-23,,Tampa Bay Lightning,3,6,L,,38,30,6,L 4,17565,2:48,
75,2017-03-25,@,New York Islanders,2,1,W,,39,30,6,W 1,15795,2:28,
76,2017-03-28,,Nashville Predators,4,1,W,,40,30,6,W 2,17565,3:05,
77,2017-03-30,,Dallas Stars,2,0,W,,41,30,6,W 3,17565,2:29,
78,2017-04-01,,Florida Panthers,5,2,W,,42,30,6,W 4,17565,2:30,
79,2017-04-02,@,Chicago Blackhawks,3,2,W,,43,30,6,W 5,22131,2:36,
80,2017-04-04,,Tampa Bay Lightning,4,0,W,,44,30,6,W 6,17565,2:25,
81,2017-04-06,,Ottawa Senators,1,2,L,SO,44,30,7,L 1,17565,2:38,
82,2017-04-08,,Washington Capitals,1,3,L,,44,31,7,L 2,17565,2:34,
