GP,Date,,Opponent,GF,GA,,,W,L,Streak,Att.,LOG,Notes
1,2017-04-12,@,Ottawa Senators,2,1,W,,1,0,W 1,18702,2:30,
2,2017-04-15,@,Ottawa Senators,3,4,L,OT,1,1,L 1,18629,2:49,
3,2017-04-17,,Ottawa Senators,3,4,L,OT,1,2,L 2,17565,3:00,
4,2017-04-19,,Ottawa Senators,0,1,L,,1,3,L 3,17565,2:33,
5,2017-04-21,@,Ottawa Senators,3,2,W,2OT,2,3,W 1,19209,4:06,
6,2017-04-23,,Ottawa Senators,2,3,L,OT,2,4,L 1,17565,2:55,
