GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2015-10-08,,Winnipeg Jets,2,6,L,,0,1,0,L 1,17565,2:26,
2,2015-10-10,,Montreal Canadiens,2,4,L,,0,2,0,L 2,17565,2:50,
3,2015-10-12,,Tampa Bay Lightning,3,6,L,,0,3,0,L 3,17565,2:30,
4,2015-10-14,@,Colorado Avalanche,6,2,W,,1,3,0,W 1,15082,2:17,
5,2015-10-17,@,Arizona Coyotes,5,3,W,,2,3,0,W 2,13411,2:35,
6,2015-10-21,,Philadelphia Flyers,4,5,L,OT,2,3,1,L 1,17565,2:33,
7,2015-10-23,@,New York Islanders,5,3,W,,3,3,1,W 1,13113,2:45,
8,2015-10-27,,Arizona Coyotes,6,0,W,,4,3,1,W 2,17565,2:34,
9,2015-10-30,@,Florida Panthers,3,1,W,,5,3,1,W 3,14112,2:30,
10,2015-10-31,@,Tampa Bay Lightning,3,1,W,,6,3,1,W 4,19092,2:26,
11,2015-11-03,,Dallas Stars,3,5,L,,6,4,1,L 1,17565,2:33,
12,2015-11-05,@,Washington Capitals,1,4,L,,6,5,1,L 2,18506,2:35,
13,2015-11-07,@,Montreal Canadiens,2,4,L,,6,6,1,L 3,21288,2:46,
14,2015-11-08,@,New York Islanders,2,1,W,,7,6,1,W 1,13197,2:30,
15,2015-11-12,,Colorado Avalanche,2,3,L,,7,7,1,L 1,17565,2:34,
16,2015-11-14,,Detroit Red Wings,3,1,W,,8,7,1,W 1,17565,2:24,
17,2015-11-17,,San Jose Sharks,4,5,L,,8,8,1,L 1,17565,2:32,
18,2015-11-19,,Minnesota Wild,4,2,W,,9,8,1,W 1,17565,2:29,
19,2015-11-21,,Toronto Maple Leafs,2,0,W,,10,8,1,W 2,17565,2:33,
20,2015-11-23,@,Toronto Maple Leafs,4,3,W,SO,11,8,1,W 3,19609,2:58,
21,2015-11-25,@,Detroit Red Wings,3,2,W,OT,12,8,1,W 4,20027,2:24,
22,2015-11-27,,New York Rangers,4,3,W,,13,8,1,W 5,17565,2:33,
23,2015-12-02,@,Edmonton Oilers,2,3,L,SO,13,8,2,L 1,16839,2:49,
24,2015-12-04,@,Calgary Flames,4,5,L,OT,13,8,3,L 2,19289,2:41,
25,2015-12-05,@,Vancouver Canucks,4,0,W,,14,8,3,W 1,18570,2:24,
26,2015-12-07,,Nashville Predators,2,3,L,,14,9,3,L 1,17565,2:36,
27,2015-12-09,@,Montreal Canadiens,3,1,W,,15,9,3,W 1,21288,2:37,
