GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
28,2015-12-12,,Florida Panthers,3,1,W,,16,9,3,W 2,17565,2:31,
29,2015-12-14,,Edmonton Oilers,2,3,L,OT,16,9,4,L 1,17565,2:38,
30,2015-12-16,,Pittsburgh Penguins,3,0,W,,17,9,4,W 1,17565,2:34,
31,2015-12-18,@,Pittsburgh Penguins,6,2,W,,18,9,4,W 2,18585,2:34,
32,2015-12-20,,New Jersey Devils,2,1,W,SO,19,9,4,W 3,17565,2:43,
33,2015-12-22,,St. Louis Blues,0,2,L,,19,10,4,L 1,17565,2:26,
34,2015-12-26,,Buffalo Sabres,3,6,L,,19,11,4,L 2,17565,2:27,
35,2015-12-27,@,Ottawa Senators,1,3,L,,19,12,4,L 3,20061,2:25,
36,2015-12-29,,Ottawa Senators,7,3,W,,20,12,4,W 1,17565,2:47,
37,2016-01-01,,Montreal Canadiens,1,5,L,,20,13,4,L 1,67246,2:52,
38,2016-01-05,,Washington Capitals,2,3,L,,20,14,4,L 2,17565,2:26,
39,2016-01-08,@,New Jersey Devils,4,1,W,,21,14,4,W 1,16514,2:18,
40,2016-01-09,@,Ottawa Senators,1,2,L,OT,21,14,5,L 1,19125,2:38,
41,2016-01-11,@,New York Rangers,1,2,L,,21,15,5,L 2,18006,2:21,
42,2016-01-13,@,Philadelphia Flyers,2,3,L,,21,16,5,L 3,19704,2:22,
43,2016-01-15,@,Buffalo Sabres,4,1,W,,22,16,5,W 1,18704,2:30,
44,2016-01-16,,Toronto Maple Leafs,3,2,W,,23,16,5,W 2,17565,2:41,
45,2016-01-19,@,Montreal Canadiens,4,1,W,,24,16,5,W 3,21288,2:28,
46,2016-01-21,,Vancouver Canucks,2,4,L,,24,17,5,L 1,17565,2:25,
47,2016-01-23,,Columbus Blue Jackets,3,2,W,SO,25,17,5,W 1,17565,2:44,
48,2016-01-25,@,Philadelphia Flyers,3,2,W,,26,17,5,W 2,19738,2:36,
49,2016-01-26,,Anaheim Ducks,2,6,L,,26,18,5,L 1,17565,2:40,
50,2016-02-02,,Toronto Maple Leafs,3,4,L,OT,26,18,6,L 2,17565,2:41,
51,2016-02-04,@,Buffalo Sabres,3,2,W,SO,27,18,6,W 1,18845,2:39,
52,2016-02-06,,Buffalo Sabres,2,1,W,OT,28,18,6,W 2,17565,2:40,
53,2016-02-09,,Los Angeles Kings,2,9,L,,28,19,6,L 1,17565,2:35,
54,2016-02-11,@,Winnipeg Jets,6,2,W,,29,19,6,W 1,15294,2:34,
55,2016-02-13,@,Minnesota Wild,4,2,W,,30,19,6,W 2,19191,2:26,
56,2016-02-14,@,Detroit Red Wings,5,6,L,,30,20,6,L 1,20027,2:33,
57,2016-02-16,@,Columbus Blue Jackets,2,1,W,OT,31,20,6,W 1,13140,2:35,
58,2016-02-18,@,Nashville Predators,0,2,L,,31,21,6,L 1,17113,2:35,
59,2016-02-20,@,Dallas Stars,7,3,W,,32,21,6,W 1,18532,2:58,
60,2016-02-22,,Columbus Blue Jackets,4,6,L,,32,22,6,L 1,17565,2:37,
61,2016-02-24,,Pittsburgh Penguins,5,1,W,,33,22,6,W 1,17565,2:26,
62,2016-02-26,@,Carolina Hurricanes,4,1,W,,34,22,6,W 2,17917,2:27,
63,2016-02-28,,Tampa Bay Lightning,1,4,L,,34,23,6,L 1,17565,2:31,
64,2016-03-01,,Calgary Flames,2,1,W,,35,23,6,W 1,17565,2:28,
65,2016-03-03,,Chicago Blackhawks,4,2,W,,36,23,6,W 2,17565,2:25,
66,2016-03-05,,Washington Capitals,1,2,L,OT,36,23,7,L 1,17565,2:40,
67,2016-03-07,@,Florida Panthers,5,4,W,OT,37,23,7,W 1,19194,3:00,
68,2016-03-08,@,Tampa Bay Lightning,1,0,W,OT,38,23,7,W 2,19092,2:26,
69,2016-03-10,,Carolina Hurricanes,2,3,L,OT,38,23,8,L 1,17565,2:34,
70,2016-03-12,,New York Islanders,3,1,W,,39,23,8,W 1,17565,2:27,
71,2016-03-15,@,San Jose Sharks,2,3,L,,39,24,8,L 1,16624,2:30,
72,2016-03-18,@,Anaheim Ducks,0,4,L,,39,25,8,L 2,16707,2:20,
73,2016-03-19,@,Los Angeles Kings,1,2,L,,39,26,8,L 3,18373,2:26,
74,2016-03-23,@,New York Rangers,2,5,L,,39,27,8,L 4,18006,2:41,
75,2016-03-24,,Florida Panthers,1,4,L,,39,28,8,L 5,17565,2:45,
76,2016-03-26,@,Toronto Maple Leafs,3,1,W,,40,28,8,W 1,19185,2:38,
77,2016-03-29,@,New Jersey Devils,1,2,L,,40,29,8,L 1,15486,2:27,
78,2016-04-01,@,St. Louis Blues,6,5,W,,41,29,8,W 1,19202,2:40,
79,2016-04-03,@,Chicago Blackhawks,4,6,L,,41,30,8,L 1,22156,2:31,
80,2016-04-05,,Carolina Hurricanes,1,2,L,SO,41,30,9,L 2,17565,2:40,
81,2016-04-07,,Detroit Red Wings,5,2,W,,42,30,9,W 1,17565,2:28,
82,2016-04-09,,Ottawa Senators,1,6,L,,42,31,9,L 1,17565,2:37,
