GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
70,2018-03-17,@,Tampa Bay Lightning,3,0,W,,45,17,8,W 1,19092,2:22,
71,2018-03-19,,Columbus Blue Jackets,4,5,L,OT,45,17,9,L 1,17565,2:34,
72,2018-03-21,@,St. Louis Blues,1,2,L,OT,45,17,10,L 2,18423,2:26,
73,2018-03-23,@,Dallas Stars,3,2,W,,46,17,10,W 1,18532,2:34,
74,2018-03-25,@,Minnesota Wild,2,1,W,OT,47,17,10,W 2,19183,2:33,
75,2018-03-27,@,Winnipeg Jets,4,5,L,SO,47,17,11,L 1,15321,3:16,
76,2018-03-29,,Tampa Bay Lightning,4,2,W,,48,17,11,W 1,17565,2:50,
77,2018-03-31,,Florida Panthers,5,1,W,,49,17,11,W 2,17565,2:43,
78,2018-04-01,@,Philadelphia Flyers,3,4,L,OT,49,17,12,L 1,19904,2:29,
79,2018-04-03,@,Tampa Bay Lightning,0,4,L,,49,18,12,L 2,19092,2:30,
80,2018-04-05,@,Florida Panthers,2,3,L,,49,19,12,L 3,14860,2:34,
81,2018-04-07,,Ottawa Senators,5,2,W,,50,19,12,W 1,17565,2:27,
82,2018-04-08,,Florida Panthers,2,4,L,,50,20,12,L 1,17565,2:30,
